---------------10	
71	23.3272	
74	19.815	
71	21.7983	
73	22.905	
69	22.1837	
73	25.1549	
74	24.2192	
67	18.2048	
71	21.6192	
75	21.654	
70	24.2529	
80	21.6634	
74	23.3237	
80	23.2846	
66	22.8942	
63	20.5533	
70	25.5112	
71	24.7046	
69	20.0719	
68	20.2587	
82	22.2825	
74	25.1863	
76	25.2166	
67	20.9159	
74	22.5056	
74	23.6046	
71	21.741	
68	19.5907	
74	23.2803	
71	23.5532	
69	20.4198	
72	23.7323	
80	26.2259	
68	19.1812	
75	21.4752	
68	22.0029	
72	21.0265	
74	21.5577	
74	24.8536	
68	23.0641	
75	25.5583	
73	24.3579	
72	19.8424	
75	23.2107	
75	23.3547	
72	23.4203	
72	20.1632	
80	24.4869	
75	23.5118	
76	25.439	
76	27.3403	
65	20.1672	
75	23.5775	
70	22.9499	
71	22.3627	
71	23.5524	
67	21.9327	
74	22.374	
73	23.0533	
70	19.1517	
73	20.0093	
79	22.1826	
72	22.7613	
66	18.8609	
73	20.3837	
70	21.3258	
69	20.461	
68	22.5118	
74	22.2087	
74	18.9016	
80	25.4716	
73	23.589	
59	19.0955	
73	21.415	
71	24.3136	
65	20.8775	
72	23.5767	
64	19.9543	
66	19.105	
71	20.2121	
69	21.8744	
77	24.5063	
72	21.3388	
75	23.6894	
69	20.6219	
76	26.3654	
66	21.4392	
76	25.4714	
71	20.9542	
68	20.6353	
74	16.699	
77	22.3591	
66	19.4893	
75	23.5103	
70	22.3208	
76	23.3893	
71	25.2578	
69	23.0252	
72	22.2267	
71	24.2529	
65	20.6923	
67	20.7745	
78	27.6795	
68	22.3271	
71	23.9141	
74	23.1619	
77	24.8187	
67	22.8972	
77	24.5367	
71	21.6322	
71	24.4536	
74	22.7375	
76	20.1836	
70	19.4098	
76	23.2069	
78	25.1468	
72	23.2081	
75	24.0241	
70	20.5424	
76	21.9719	
63	18.7164	
69	24.5028	
69	21.1744	
63	18.451	
73	22.7253	
73	19.4136	
71	22.5406	
74	23.6801	
67	19.6342	
77	25.2052	
72	20.8697	
76	24.113	
72	21.9537	
71	23.3353	
72	22.7402	
74	20.6244	
65	22.0852	
74	21.2238	
72	20.3466	
68	20.1833	
77	23.6699	
69	24.3009	
78	26.216	
76	22.32	
73	24.4995	
69	21.0084	
71	19.0917	
76	26.3688	
77	24.7681	
69	21.7139	
69	21.1714	
67	19.1276	
75	24.847	
75	21.9369	
69	22.0441	
72	23.652	
73	24.1192	
72	20.6346	
65	21.1873	
65	20.7394	
70	22.7014	
70	19.7937	
81	28.1312	
69	19.9235	
67	22.1504	
76	23.9556	
68	20.9924	
71	21.2369	
75	22.3715	
76	23.1076	
74	23.4017	
71	23.8294	
80	25.8809	
73	21.0496	
73	22.166	
69	18.2779	
72	23.5028	
74	26.3712	
69	21.3899	
75	25.3821	
76	23.2494	
72	20.7977	
73	22.338	
79	26.6157	
74	24.8634	
71	22.9188	
80	24.4705	
71	21.5449	
72	23.4262	
71	22.4235	
72	25.1483	
72	20.5366	
69	21.2849	
71	24.3892	
70	23.4305	
76	25.2	
75	20.5648	
72	23.7459	
70	17.3113	
67	18.9667	
66	19.5056	
67	18.0144	
77	22.4779	
76	22.9643	
73	21.3109	
79	21.8522	
70	21.5107	
71	18.2301	
74	20.9508	
77	19.7935	
80	20.3586	
74	22.1319	
77	21.4958	
70	19.0717	
75	24.1579	
84	24.9367	
73	19.7202	
77	23.9716	
74	21.1434	
72	20.4287	
75	20.8031	
75	19.4357	
66	22.2798	
71	17.0731	
67	19.4042	
72	21.259	
76	24.1404	
75	23.2553	
80	27.5883	
72	19.0957	
76	19.5104	
83	22.3854	
79	21.9061	
69	18.9607	
75	18.2471	
74	24.2182	
74	19.2529	
70	20.6235	
68	19.2706	
81	21.5882	
79	23.5455	
75	18.7374	
69	19.7935	
68	18.3827	
68	20.0779	
82	22.9826	
74	21.9359	
75	17.6645	
76	20.1054	
70	20.2419	
79	20.7809	
72	18.7974	
73	21.1124	
70	19.5429	
75	18.7303	
76	21.6984	
67	19.1308	
77	22.7336	
75	23.0466	
76	21.0423	
77	22.075	
77	21.1606	
70	19.6039	
70	20.6664	
75	21.7955	
72	22.1594	
72	20.9786	
71	21.2364	
72	20.62	
71	20.8483	
78	26.6686	
79	26.3306	
66	17.4783	
81	25.0487	
77	21.8331	
81	24.3361	
79	23.8771	
72	23.9732	
80	26.7361	
73	20.1397	
81	24.4367	
67	21.2321	
76	21.8071	
75	20.9153	
71	22.683	
71	17.7431	
79	25.2693	
66	19.8582	
66	20.6502	
77	21.7805	
78	24.0092	
71	20.5696	
74	23.0434	
66	19.2981	
79	24.6506	
73	23.5818	
78	22.5966	
66	19.139	
73	22.1029	
70	21.4794	
66	22.0017	
75	22.5571	
74	23.6035	
75	27.4141	
70	19.7878	
75	23.8007	
78	25.231	
70	21.053	
75	20.6706	
76	20.1977	
78	26.0036	
66	22.9576	
70	23.0715	
72	20.5524	
71	17.4155	
72	24.5717	
73	20.0981	
71	26.5784	
77	22.9281	
76	21.8481	
78	23.066	
76	19.4941	
74	22.9514	
71	20.083	
77	22.8065	
76	24.4817	
69	22.1358	
79	23.8401	
68	20.6632	
77	20.076	
69	22.65	
73	23.4097	
76	22.6494	
69	18.7583	
76	25.9471	
76	21.6954	
68	23.391	
69	22.1508	
67	18.4688	
77	21.8623	
71	25.7709	
75	22.2985	
70	24.5657	
72	23.2927	
76	23.9637	
76	23.3875	
74	21.471	
66	21.151	
73	20.7548	
70	19.7795	
78	21.1469	
65	16.7316	
70	20.4121	
75	19.7826	
63	16.5929	
73	20.8421	
78	21.0167	
73	22.5566	
72	23.7006	
70	20.2838	
79	24.4954	
74	22.0012	
76	23.0006	
70	16.2661	
73	21.5692	
71	23.078	
85	26.3672	
71	20.9843	
74	21.9347	
76	24.7173	
70	22.0699	
74	23.9414	
74	25.3788	
78	21.6097	
76	23.3141	
66	18.4917	
73	21.61	
70	22.3745	
75	20.5883	
73	20.1221	
71	20.2593	
72	21.3027	
74	21.6309	
74	18.4611	
76	23.2658	
73	18.2699	
69	18.9034	
68	20.6337	
68	22.6684	
72	19.8178	
67	17.6989	
72	21.3381	
78	22.8062	
66	19.5434	
70	19.6512	
69	20.7342	
75	20.6333	
69	19.6163	
76	23.3282	
75	21.5022	
77	18.4601	
77	22.1304	
73	21.2506	
73	19.8831	
74	21.7658	
77	25.0259	
70	18.4968	
75	21.1424	
75	21.7794	
71	19.7118	
68	19.6006	
74	18.3691	
67	17.8059	
65	19.9152	
64	18.6383	
73	21.4436	
77	22.0116	
68	17.5831	
74	24.0016	
69	20.9954	
75	18.8708	
70	19.354	
66	16.909	
64	17.5795	
71	21.663	
75	23.4283	
76	21.5702	
71	21.5419	
67	22.0993	
78	25.528	
78	28.6128	
76	22.4841	
66	18.711	
69	20.1484	
67	23.549	
74	23.4445	
73	23.5788	
73	18.2373	
73	25.1424	
74	22.0031	
76	23.3818	
80	23.6622	
75	24.1328	
77	23.7579	
75	28.7316	
74	27.5618	
68	22.0431	
79	25.2823	
71	22.6518	
77	22.6949	
71	19.2825	
79	27.8782	
71	25.8849	
65	21.4658	
73	21.097	
73	22.1489	
72	22.7668	
68	23.1059	
76	22.624	
76	23.5288	
67	22.2954	
77	21.3938	
77	24.214	
71	22.0554	
69	20.0598	
69	22.4613	
76	24.5219	
71	21.9039	
69	21.3388	
77	23.3438	
70	24.6695	
74	24.0027	
75	27.624	
76	28.0767	
74	22.2281	
72	19.3394	
74	25.397	
66	23.7345	
71	22.3331	
74	22.5916	
69	23.3227	
67	17.4669	
73	18.5875	
78	25.253	
78	23.8833	
72	21.7512	
70	18.6297	
66	18.1665	
69	18.0086	
71	26.1679	
70	23.4667	
75	24.4908	
74	26.3096	
71	22.1452	
72	23.3814	
70	25.8761	
78	21.6998	
78	29.0497	
69	22.0762	
67	25.9526	
70	21.0529	
77	26.2213	
75	25.8321	
75	23.6842	
71	25.7231	
74	26.3498	
68	23.5524	
70	22.8979	
72	23.9759	
75	20.846	
77	23.2803	
63	23.338	
73	24.8801	
78	25.9181	
70	23.2098	
79	21.8454	
74	20.7247	
74	22.9221	
71	22.4015	
75	24.1414	
77	23.2274	
69	23.5918	
69	22.2768	
72	22.2203	
76	23.7878	
74	22.04	
72	20.8793	
69	17.9368	
68	18.6441	
79	26.8489	
70	21.5066	
64	19.5357	
80	25.2364	
75	22.0057	
78	25.219	
77	25.7562	
72	23.547	
74	25.1547	
70	22.7686	
71	22.656	
74	23.2288	
72	23.7239	
74	22.5172	
72	22.0638	
71	19.492	
68	18.3658	
79	27.104	
67	22.3141	
69	21.2445	
78	23.2492	
77	27.9335	
72	25.8683	
67	18.5009	
80	23.014	
73	22.2531	
69	22.5931	
70	22.7518	
77	22.6572	
73	24.4641	
65	16.2747	
78	22.4782	
71	26.0789	
68	23.9806	
68	22.845	
75	25.7122	
78	26.0391	
73	23.0096	
71	23.9091	
62	20.186	
70	22.5346	
71	17.7799	
67	23.1463	
73	23.6205	
72	20.2909	
67	22.8851	
63	20.8496	
70	24.3217	
70	21.5666	
74	19.5444	
75	23.5017	
74	23.6925	
69	22.5677	
77	27.0521	
72	22.7238	
75	25.5794	
70	20.6033	
73	25.1287	
69	21.0269	
66	19.8909	
67	21.9517	
76	24.2188	
77	21.6464	
71	21.7251	
69	20.7785	
71	24.6935	
69	19.3317	
77	24.4249	

平均72.493	22.1807	
---------------20	
83	25.1511	
81	25.4566	
86	28.3585	
81	26.2917	
86	26.5138	
84	26.0763	
86	25.763	
83	24.7786	
84	28.5312	
82	23.3262	
85	25.4482	
88	25.5524	
84	23.3986	
83	24.7807	
84	23.965	
85	27.3122	
83	27.3561	
87	26.5262	
87	22.4489	
83	27.4003	
80	24.65	
84	25.3624	
82	26.5106	
85	26.52	
82	26.2018	
85	27.4273	
85	25.7599	
85	29.2149	
78	20.665	
79	24.3557	
78	25.2558	
81	26.1392	
85	26.2676	
79	29.1596	
85	27.1251	
87	24.4585	
86	29.2766	
90	24.3725	
85	26.0917	
